,Широта,Долгота
0,56.322063,44.004082
1,56.316221,43.992778
2,56.324624,44.010042
3,56.322957,44.009175
4,56.322945,44.008901
5,56.329768,43.994357
6,56.289123,43.982348
7,56.328186,44.015105
8,56.259249,44.010664
9,56.32888,43.990757
10,56.324519,44.003149
11,56.325235,44.003903
12,56.325389,43.958787
13,56.365856,43.822871
14,56.316155,43.993587
15,56.327782,43.986547
16,56.328788,43.990372
17,56.221988,43.853013
18,56.324619,44.003255
19,56.282443,43.995312
20,56.317935,43.996699
21,56.287132,43.925073
22,56.311922,43.978178
23,56.328869,43.987042
24,56.323848,43.954116
25,56.32415,44.003601
26,56.317167,44.060633
27,56.31852,44.075166
28,56.306064,44.075854
29,56.286198,43.978428
30,56.316673,44.018951
31,56.323308,44.009469
32,56.305134,44.020558
33,56.315545,43.992354
34,56.322678,44.03341
35,56.316487,44.006096
36,56.300829,43.948377
37,56.243296,43.868945
38,56.32259,44.006611
39,56.262322,43.876999
40,56.32322,44.011221
41,56.234728,43.871039
42,56.309425,43.991238
43,56.316295,43.987595
44,56.313523,43.989473
45,56.316652,43.994585
46,56.25957,43.857313
47,56.152213,44.209356
48,56.323527,43.990841
49,56.280724,43.995787
50,56.158982,44.19773
51,56.258495,43.851965
52,56.360636,44.054025
53,56.331715,44.006557
54,56.314061,43.993866
55,56.315156,43.99925
56,56.326833,43.910863
57,56.3556,43.82977
58,56.317169,44.0522
59,56.334849,43.971043
60,56.31819,43.996992
61,56.246176,43.865299
62,56.315249,43.999726
63,56.29221,43.994885
64,56.320048,43.956485
65,56.327768,44.007743
66,56.339399,43.855995
67,56.278097,44.081969
68,56.338451,43.934479
69,56.168192,43.737473
70,56.329569,44.010312
71,56.285319,43.929896
72,56.245474,43.988214
73,56.286632,43.996808
74,56.325592,44.011784
75,56.314196,44.018194
76,56.292746,44.009947
77,56.327718,43.98632
78,56.291843,43.984084
79,56.329112,43.991717
80,56.322207,44.006546
81,56.325109,43.958438
82,56.319629,43.997566
83,56.300034,44.032935
84,56.333362,43.877044
85,56.328173,43.987985
86,56.231351,43.87664
87,56.325336,44.022294
88,56.322877,44.00447
89,56.309634,43.991201
90,56.306413,44.076287
91,56.324329,44.026719
92,56.323065,44.031465
93,56.329215,43.957573
94,56.25055,43.852047
95,56.262607,44.020993
96,56.30781,43.710467
97,56.265297,43.906305
98,56.32418,44.008411
99,56.322372,44.005497
100,56.317188,44.009716
101,56.149133,44.193387
102,56.357161,44.051523
103,56.222927,43.835792
104,56.326501,44.011924
105,56.315471,43.991691
106,56.316128,44.017707
107,56.321845,44.002128
108,56.31783,43.996626
109,56.323515,44.001403
110,56.320466,44.003333
111,56.329484,43.992391
112,56.321828,44.001586
113,56.330921,44.002558
114,56.328207,44.022644
115,56.316441,43.994657
116,56.327296,43.995529
117,56.325533,44.004217
118,56.314431,43.983307
119,56.329585,43.994998
120,56.339086,43.935906
121,56.317275,43.994464
122,56.340705,43.957498
123,56.324015,43.981235
124,56.328232,43.983582
125,56.309509,43.986775
126,56.329176,43.990965
127,56.323953,44.004047
128,56.324486,44.00274
129,56.317132,43.995131
130,56.327878,43.984355
131,56.329346,43.996326
132,56.320697,43.999103
133,56.328954,44.018522
134,56.321729,43.999659
135,56.332353,43.9569
136,56.315954,43.993138
137,56.326763,43.982729
138,56.343175,43.951281
139,56.321518,43.999955
140,56.341943,43.953848
141,56.322311,44.004206
142,56.281932,43.978343
143,56.320704,44.001795
144,56.276496,44.083694
145,56.327575,43.984673
146,56.242254,43.860156
147,56.339697,43.880026
148,56.324363,44.00553
149,56.323101,44.006932
150,56.320946,43.999361
151,56.317733,43.995264
152,56.324298,44.006944
153,56.329533,43.996498
154,56.329465,44.02713
155,56.32292,44.058339
156,56.327278,43.983639
157,56.321594,44.000035
158,56.32812,44.017379
159,56.327326,43.983802
160,56.326517,43.981934
161,56.32359,44.001173
162,56.308556,43.986355
163,56.311885,43.990806
164,56.329286,43.991421
165,56.324783,44.009773
166,56.329587,43.99309
167,56.324254,44.005934
168,56.297382,43.984694
169,56.309541,43.991217
170,56.324026,44.005771
171,56.327169,44.007362
172,56.327793,43.982344
173,56.326551,44.00868
174,56.3285,44.015446
175,56.316076,43.984491
176,56.329579,43.994577
177,56.324577,44.002836
178,56.322253,44.061251
179,56.328088,43.987661
180,56.324179,44.002897
181,56.310454,44.000214
182,56.347376,43.871549
183,56.323008,44.00453
184,56.323613,44.001102
185,56.329077,44.018045
186,56.329746,43.994201
187,56.293449,44.076118
188,56.32712,43.980854
189,56.319139,44.010445
190,56.327583,43.982906
191,56.326346,44.016926
192,56.318137,44.018459
193,56.31227,43.990738
194,56.324389,44.004593
195,56.329915,43.994389
196,56.327207,43.983409
197,56.330207,43.996867
198,56.328567,43.989456
199,56.296011,44.032954
200,56.328574,44.014566
201,56.321489,43.94721
202,56.325014,44.023415
203,56.313865,43.881747
204,56.348776,43.873701
205,56.321152,44.003658
206,56.327541,43.986093
207,56.323141,44.0017
208,56.28773,43.925163
209,56.324141,44.002938
210,56.306466,43.988233
211,56.302211,44.029462
212,56.323067,44.004557
213,56.323226,44.011769
214,56.306959,44.078223
215,56.318238,43.997046
216,56.320648,44.005684
217,56.31984,44.013799
218,56.327802,43.985483
219,56.296408,43.950935
220,56.330108,43.997546
221,56.325795,44.016962
222,56.325122,44.023842
223,56.322445,44.006763
224,56.342998,43.946981
225,56.323034,44.030326
226,56.328161,43.986817
227,56.347418,43.87099
228,56.316925,44.020125
229,56.236163,43.841898
230,56.32765,43.984935
231,56.317421,43.994821
232,56.323322,44.007204
233,56.32319,43.957819
234,56.332239,44.010076
235,56.327548,43.985696
236,56.323529,44.011061
237,56.289252,43.898351
238,56.316489,43.995741
239,56.313842,43.890619
240,56.284956,43.929626
241,56.322064,43.999387
242,56.332277,44.008726
243,56.327404,44.041716
244,56.317565,43.995197
245,56.322217,44.003436
246,56.281945,43.979161
247,56.315457,44.005722
248,56.314127,43.989011
249,56.310703,44.001118
250,56.321821,44.009066
251,56.3227,44.004388
252,56.324212,44.005005
253,56.237768,44.001261
254,56.331992,43.967595
255,56.341355,43.860825
256,56.334069,43.95999
257,56.319023,43.997305
258,56.284581,43.928737
259,56.317193,43.995277
260,56.367283,43.845557
261,56.329606,43.990326
262,56.307028,44.060318
263,56.31521,43.989412
264,56.305107,44.079902
265,56.3475,43.870892
266,56.322441,44.004266
267,56.324103,44.007533
268,56.27167,43.91692
269,56.325619,44.004308
270,56.330079,43.999429
271,56.261788,43.897359
272,56.316685,44.019536
273,56.326637,43.981564
274,56.283628,44.037353
275,56.329458,43.856407
276,56.322704,44.033287
277,56.288915,44.036464
278,56.326178,43.980992
279,56.230834,43.94634
280,56.327488,43.984367
281,56.274229,43.920309
282,56.325956,44.01025
283,56.328299,44.016511
284,56.33838,43.929369
285,56.327628,43.987808
286,56.319634,44.027735
287,56.286789,44.077356
288,56.221262,43.937785
289,56.348328,43.869762
290,56.295748,44.040853
291,56.307601,44.023729
292,56.329393,43.938996
293,56.330156,44.020656
294,56.265373,43.911719
295,56.316658,44.018901
296,56.355405,43.865116
297,56.281954,43.979719
298,56.295881,44.03302
299,56.250616,43.852066
300,56.296823,44.041642
301,56.308556,43.987405
302,56.315885,44.001735
303,56.32438,44.030531
304,56.325672,44.005773
305,56.322895,44.003833
306,56.321534,43.944921
307,56.286974,43.925884
308,56.320453,44.009845
309,56.306658,44.075327
310,56.330275,43.992096
311,56.349076,43.872681
312,56.325766,44.004462
313,56.322773,44.00089
314,56.322456,44.007429
315,56.322681,43.989531
316,56.297727,43.93785
317,56.315712,43.987322
318,56.322145,43.931409
319,56.340094,43.916494
320,56.316232,43.952056
321,56.327634,44.016762
322,56.309211,43.986831
323,56.308628,43.987177
324,56.311967,43.990791
325,56.290405,44.073785
326,56.235266,43.952101
327,56.317733,43.995264
328,56.315145,44.069208
329,56.327992,43.987319
330,56.327959,43.987194
331,56.312473,43.986196
332,56.340162,43.957681
333,56.32073,43.944405
334,56.309181,43.986916
335,56.402187,44.006815
336,56.321097,43.929774
337,56.330501,43.995438
338,56.354707,43.866676
339,56.328893,44.020992
340,56.330273,43.993642
341,56.314025,43.993134
342,56.317673,44.018983
343,56.322257,44.007787
344,56.311728,43.990833
345,56.305812,43.942787
346,56.329474,43.993858
347,56.284015,44.044093
348,56.339729,43.935121
349,56.316787,44.007644
350,56.325147,44.010711
351,56.319781,43.997739
352,56.315727,43.993092
353,56.289736,43.886062
354,56.328323,43.988533
355,56.308679,43.987192
356,56.297782,43.938041
357,56.317031,43.998498
358,56.306267,43.984704
359,56.262878,44.019971
360,56.234808,43.951357
361,56.342399,43.858286
362,56.328809,43.962307
363,56.347616,43.871399
364,56.32108,43.998888
365,56.290654,44.073197
366,56.303358,43.985062
367,56.313055,44.02867
368,56.330575,43.997004
369,56.237674,43.958894
370,56.24214,43.860876
371,56.364359,43.852715
372,56.281633,43.924338
373,56.241433,43.859443
374,56.300554,43.978137
375,56.359577,44.05396
376,56.263683,43.89645
377,56.300062,43.981193
378,56.335805,43.928259
379,56.288079,43.925633
380,56.348405,43.867873
381,56.262183,43.909932
382,56.333693,43.945613
383,56.308482,43.986539
384,56.239364,43.865142
385,56.289276,43.902587
386,56.288795,43.925484
387,56.293575,43.979862
388,56.271636,43.938723
389,56.321138,43.999559
390,56.287423,44.068865
391,56.329193,43.992054
392,56.323735,44.055172
393,56.308492,43.986733
394,56.302352,43.946351
395,56.319676,44.027823
396,56.263669,44.0223
397,56.242122,43.861075
398,56.332881,43.954206
399,56.35111,43.86803
400,56.306517,43.980414
401,56.304482,44.07907
402,56.312204,43.933087
403,56.329095,43.992378
404,56.330034,43.996244
405,56.350026,43.868903
406,56.248524,44.041028
407,56.313055,44.02867
408,56.357293,44.050358
409,56.329412,43.993435
410,56.259552,43.857589
411,56.317026,43.987398
412,56.321288,44.064483
413,56.261739,44.001628
414,56.284484,43.928731
415,56.259866,44.012486
416,56.358926,43.826932
417,56.319108,44.015605
418,56.323045,44.032948
419,56.262445,44.014683
420,56.324677,44.014299
421,56.351166,43.868099
422,56.325956,44.01025
423,56.342868,43.904992
424,56.239548,43.866269
425,56.294414,44.044036
426,56.31237,44.028237
427,56.274997,43.98926
428,56.299668,43.947633
429,56.318411,43.925626
430,56.296801,44.037576
431,56.341551,43.941593
432,56.3402,43.915979
433,56.323883,44.002528
434,56.355771,44.061863
435,56.263011,44.018693
436,56.319494,44.076247
437,56.221743,43.857957
438,56.323949,44.003945
439,56.326859,43.98228
440,56.313407,43.874265
441,56.299714,43.947312
442,56.321274,43.999702
443,56.323683,43.951218
444,56.249507,44.041218
445,56.283347,43.924939
446,56.296401,43.976149
447,56.270882,44.088215
448,56.32784,43.984698
449,56.31752,43.995145
450,56.319909,44.010615
451,56.319195,44.002629
452,56.311872,43.988476
453,56.285807,43.979834
454,56.306269,44.078021
455,56.269114,43.887739
456,56.32195,44.004034
457,56.297077,43.945295
458,56.310703,44.001118
459,56.361928,43.809293
460,56.322637,44.005135
461,56.271653,43.917437
462,56.334232,43.960055
463,56.296256,44.041093
464,56.299474,44.068018
465,56.348614,43.853168
466,56.335146,43.867925
467,56.342874,43.835113
468,56.243082,43.865467
469,56.285922,43.980372
470,56.283039,44.052949
471,56.341158,43.878242
472,56.333118,43.931766
473,56.320964,43.948809
474,56.235446,43.852179
475,56.293228,44.075971
476,56.296333,43.939539
477,56.287644,43.928498
478,56.327829,43.983497
479,56.340252,43.914639
480,56.338274,43.929578
481,56.324179,44.002897
482,56.243502,43.864164
483,56.285786,43.979424
484,56.321489,43.94721
485,56.303941,43.990763
486,56.324447,44.030279
487,56.25879,43.885124
488,56.289318,44.072243
489,56.310676,43.869389
490,56.310766,44.036735
491,56.25353,43.851836
492,56.315601,43.943072
493,56.306389,43.984738
494,56.359974,44.055008
495,56.320032,43.945891
496,56.354947,43.866673
497,56.290017,43.848195
498,56.291866,43.983827
499,56.325347,44.004021
500,56.277247,44.083362
501,56.285424,44.069019
502,56.318563,43.925333
503,56.317567,44.002549
504,56.329822,43.992064
505,56.339544,43.956845
506,56.340088,43.95823
507,56.340241,43.95843
508,56.31636,44.019847
509,56.300413,44.015943
510,56.322487,43.950395
511,56.309713,43.991187
512,56.330307,43.915827
513,56.340483,43.958045
514,56.308743,43.987207
515,56.318244,43.925457
516,56.339487,43.934189
517,56.295723,44.040735
518,56.342936,43.947905
519,56.305037,43.997473
520,56.29052,44.073067
521,56.327473,43.98782
522,56.298634,43.985904
523,56.282505,44.052584
524,56.334557,43.943839
525,56.32676,44.0226
526,56.23638,43.964191
527,56.283628,44.037353
528,56.315706,43.991961
529,56.306343,44.077976
530,56.295784,43.93959
531,56.319706,43.925909
532,56.320404,44.01726
533,56.327525,43.985613
534,56.318157,43.945976
535,56.327628,43.987808
536,56.242378,43.866082
537,56.185092,43.818557
538,56.293901,43.980507
539,56.270248,43.915776
540,56.35393,44.084519
541,56.282056,43.924653
542,56.345713,43.872821
543,56.276108,44.083897
544,56.302005,43.983744
545,56.22303,43.940771
546,56.287427,43.928704
547,56.320204,43.950249
548,56.274716,44.053976
549,56.286269,43.930636
550,56.278213,43.979996
551,56.358788,43.8549
552,56.306868,44.019287
553,56.255363,43.968916
554,56.313348,43.976537
555,56.234199,43.950285
556,56.327168,44.116772
557,56.284728,43.990083
558,56.349405,43.866977
559,56.339982,43.958075
560,56.242248,43.859084
561,56.252648,43.862437
562,56.250523,43.852039
563,56.288309,44.044795
564,56.27084,43.922538
565,56.306216,44.078188
566,56.330113,43.997452
567,56.353513,44.062076
568,56.314047,43.890768
569,56.27308,43.927109
570,56.317339,44.043586
571,56.249146,43.860399
572,56.349356,43.866986
573,56.256332,43.977322
574,56.290357,43.885847
575,56.306357,44.078001
576,56.296653,44.04098
577,56.322427,43.990515
578,56.329111,43.850482
579,56.315883,43.941343
580,56.33028,43.998129
581,56.327921,43.983727
582,56.298231,43.947156
583,56.330917,43.931833
584,56.333392,43.927451
585,56.28729,43.928602
586,56.308485,43.986817
587,56.324812,43.91847
588,56.290738,43.981918
589,56.33635,43.875479
590,56.280191,44.080668
591,56.301532,43.937036
592,56.319459,44.01423
593,56.276248,44.08428
594,56.342648,43.949509
595,56.325871,43.867522
596,56.274199,43.978853
597,56.325583,44.007681
598,56.265849,43.889245
599,56.317501,43.98785
600,56.324658,43.945465
601,56.270836,43.911802
602,56.350525,43.867345
603,56.35056,43.860151
604,56.329179,43.993931
605,56.378493,44.050767
606,56.329027,43.991364
607,56.322869,44.00818
608,56.289263,43.943595
609,56.288865,44.07102
610,56.324308,44.002928
611,56.303458,43.871296
612,56.327877,43.984665
613,56.340381,43.958287
614,56.317005,44.008769
615,56.325557,44.00572
616,56.285784,43.932627
617,56.246707,43.956224
618,56.313946,43.884107
619,56.234832,43.951192
620,56.315037,44.04991
621,56.315165,43.870844
622,56.243269,43.8597
623,56.340079,43.958207
624,56.290713,44.07374
625,56.309129,43.987019
626,56.285082,44.070168
627,56.292937,44.014954
628,56.323982,43.954201
629,56.306395,43.99231
630,56.354869,44.074048
631,56.292321,44.006097
632,56.312979,43.935406
633,56.318473,43.924898
634,56.306475,44.078533
635,56.267241,43.876989
636,56.31388,43.882137
637,56.33385,43.959282
638,56.261465,43.877747
639,56.225623,44.072059
640,56.281982,43.931007
641,56.314882,44.007612
642,56.31427,43.881883
643,56.325953,43.957559
644,56.318519,43.92556
645,56.24098,43.859719
646,56.314486,44.003158
647,56.287066,43.92541
648,56.340212,43.95839
649,56.319101,43.867911
650,56.315024,44.001787
651,56.316568,43.89892
652,56.316116,43.992797
653,56.326205,44.136221
654,56.317112,43.986985
655,56.308489,43.986461
656,56.309337,44.005309
657,56.287664,43.928332
658,56.259308,43.8756
659,56.285804,43.979949
660,56.288812,44.067703
661,56.356441,44.05988
662,56.293575,43.979862
663,56.319208,43.891459
664,56.304688,44.079058
665,56.231224,43.876294
666,56.256452,43.866963
667,56.299627,44.075431
668,56.321784,43.99941
669,56.335516,43.920607
670,56.34415,43.856759
671,56.30659,44.075398
672,56.285863,43.931885
673,56.21686,43.866138
674,56.318059,44.000072
675,56.239261,43.844068
676,56.35178,43.867099
677,56.292647,43.912535
678,56.277923,44.082877
679,56.25852,43.998936
680,56.343784,43.836112
681,56.2365,43.963165
682,56.280966,43.937726
683,56.328989,44.028221
684,56.34257,43.863789
685,56.293228,44.075971
686,56.324828,44.010562
687,56.325602,43.931733
688,56.365043,43.81686
689,56.239504,43.862262
690,56.263478,44.022538
691,56.257552,43.867813
692,56.323381,44.010621
693,56.335563,43.920639
694,56.340456,43.958106
695,56.235859,43.832789
696,56.313038,43.992753
697,56.36798,43.83876
698,56.321993,44.002971
699,56.294974,44.044195
700,56.232312,43.879493
701,56.287624,43.928128
702,56.320377,43.946481
703,56.35908,44.052697
704,56.242033,43.862048
705,56.291349,43.982828
706,56.321289,43.936305
707,56.360004,43.821322
708,56.286527,43.930296
709,56.287106,44.077066
710,56.300748,43.983728
711,56.317828,44.076591
712,56.330494,43.995901
713,56.240277,43.865432
714,56.328903,44.016578
715,56.350771,43.868146
716,56.306637,44.078084
717,56.344526,43.86552
718,56.222184,43.853064
719,56.317608,43.92587
720,56.333594,43.927349
721,56.320517,44.032876
722,56.321469,44.025936
723,56.355908,43.85772
724,56.320178,43.945905
725,56.291191,43.998342
726,56.324426,44.000776
727,56.257346,43.981605
728,56.314017,44.070556
729,56.262102,43.877293
730,56.31521,44.069481
731,56.294547,44.073351
732,56.313412,44.028124
733,56.340184,43.914976
734,56.362388,43.796469
735,56.336404,43.881455
736,56.234376,43.949358
737,56.313243,43.988778
738,56.35012,44.091556
739,56.351418,43.83779
740,56.319108,44.077211
741,56.316924,44.008358
742,56.34012,43.958264
743,56.360171,44.051223
744,56.323467,44.00832
745,56.315321,44.010759
746,56.314486,44.003158
747,56.226027,44.071599
748,56.34005,43.958167
749,56.308551,43.98716
750,56.301179,44.079387
751,56.3206,43.947817
752,56.329379,43.993216
753,56.329547,44.025914
754,56.322979,44.037254
755,56.37871,44.049886
756,56.323117,44.00221
757,56.318261,43.944405
758,56.321408,44.012456
759,56.281652,43.985048
760,56.225461,44.071388
761,56.365607,43.822066
762,56.26553,43.885191
763,56.321635,43.946003
764,56.328742,43.855598
765,56.329909,43.855883
766,56.31637,43.86803
767,56.320011,43.946025
768,56.227295,43.94758
769,56.287936,43.848991
770,56.320271,43.945934
771,56.354868,43.828583
772,56.24486,43.967121
773,56.230848,43.848331
774,56.333946,44.107968
775,56.300389,43.922852
776,56.240545,43.865052
777,56.31861,44.03791
778,56.287591,43.928649
779,56.288883,43.846701
780,56.248536,43.986389
781,56.304097,44.028299
782,56.288309,44.044795
783,56.321489,43.94721
784,56.3416,43.947749
785,56.352304,43.870942
786,56.287013,43.925685
787,56.34217,43.861517
788,56.354272,43.832275
789,56.30642,44.078766
790,56.322737,44.009775
791,56.313593,43.935008
792,56.321258,43.927261
793,56.234707,43.871065
794,56.359725,43.868642
795,56.281628,43.981265
796,56.333644,43.95145
797,56.320276,43.946318
798,56.288738,43.925896
799,56.308638,43.989401
800,56.239635,43.864246
801,56.28587,43.979216
802,56.350371,43.870337
803,56.232403,43.951291
804,56.258832,43.934546
805,56.221931,43.853016
806,56.340172,43.958336
807,56.360766,44.05976
808,56.306545,44.078719
809,56.322512,43.944718
810,56.359207,44.052223
811,56.315461,43.870891
812,56.308477,43.986905
813,56.339087,43.856859
814,56.222441,43.941819
815,56.308265,44.02298
816,56.340383,43.915095
817,56.283859,44.04178
818,56.290594,44.073201
819,56.250779,43.851094
820,56.241589,43.859965
821,56.257701,43.849268
822,56.342451,43.833312
823,56.364008,43.815503
824,56.3219,44.004356
